id,value
id_0,5.123752405996281
id_1,17.68006025906672
id_2,24.164032487932403
id_3,7.994766123982548
id_4,27.336055048728497
id_5,22.042483558660273
id_6,23.739520239389087
id_7,30.85601918608651
id_8,16.583631777857352
id_9,59.13025935305908
id_10,13.463937133912653
id_11,10.411850024993885
id_12,62.018923210390206
id_13,52.698554308276755
id_14,22.553932454844645
id_15,11.89269129969023
id_16,31.735277084927585
id_17,67.84819809227585
id_18,-1.024693754490823
id_19,17.08072008421735
id_20,42.13684914953041
id_21,72.17379867314295
id_22,9.507756311037605
id_23,18.03696106097246
id_24,14.976708266461843
id_25,38.27133552403006
id_26,14.287317691096709
id_27,73.54666710360965
id_28,7.287219051792432
id_29,55.12097350340901
id_30,23.535551692060256
id_31,8.859878764392294
id_32,2.322688063779263
id_33,19.549072626998505
id_34,29.093376437428255
id_35,36.98833900829387
id_36,43.2521335754219
id_37,30.110468191744747
id_38,43.26338987757696
id_39,35.25079406763281
id_40,7.429380162852475
id_41,40.83614379298962
id_42,30.859012599097795
id_43,50.5537615109653
id_44,16.928022433299716
id_45,35.104377238479074
id_46,24.705036166750357
id_47,10.131685853584449
id_48,25.2422704445977
id_49,32.26735822558534
id_50,20.872236798583067
id_51,8.672278098277204
id_52,20.660508793812696
id_53,53.29162856744396
id_54,15.926680882805838
id_55,35.83047116712219
id_56,32.47479551733565
id_57,22.456617671023306
id_58,57.91046290066485
id_59,21.935564336941567
id_60,15.018341008016975
id_61,41.577532614578445
id_62,12.497733572802268
id_63,48.62427606203285
id_64,14.814432828679475
id_65,15.161163243273245
id_66,13.896215323185327
id_67,-0.19879081450507452
id_68,43.59565214329975
id_69,30.630964099857994
id_70,20.584183889810735
id_71,40.59290725795802
id_72,60.67187330163408
id_73,5.497609301770866
id_74,16.975491641257296
id_75,4.606726242422006
id_76,39.64333268563987
id_77,14.400351829823542
id_78,22.14597105858146
id_79,21.98621469699573
id_80,24.58764924251558
id_81,37.514715531263825
id_82,21.43803794594209
id_83,91.86884622832525
id_84,36.63252830548356
id_85,26.794584282277505
id_86,23.019425506816457
id_87,31.472710351689848
id_88,24.093876039194658
id_89,20.85654024012216
id_90,29.450825780964287
id_91,41.24464733344038
id_92,4.1503790953183
id_93,37.71124953951755
id_94,45.99319837716461
id_95,16.191005575541595
id_96,32.920593122195356
id_97,12.468473694931266
id_98,24.6154999993068
id_99,3.4439806034713403
id_100,18.20850908306776
id_101,27.71353546739339
id_102,13.122463488034676
id_103,15.956377051680393
id_104,23.385606873721997
id_105,39.78131132356066
id_106,30.923161220857832
id_107,6.748886061887078
id_108,7.427130232162227
id_109,78.6745050886791
id_110,46.6495609352383
id_111,15.709824650417138
id_112,28.28372350358554
id_113,15.723166391839197
id_114,14.476525820787094
id_115,25.051499068330312
id_116,25.464745727745566
id_117,9.931075707952292
id_118,18.306865929907058
id_119,19.279155710067105
id_120,80.51300761818943
id_121,25.959959413976197
id_122,36.51343096412478
id_123,24.58689640121317
